id,name,name@pt,description,description@pt,invoice_label,invoice_label@pt,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,l10n_pt_tax_type,l10n_pt_withholding,l10n_pt_vat_exempt_reason,active
iva_pt_purchase_reduzida_fixed_assets,6% Fixed Assets,6% Imobilizado,VAT 6% Fixed Assets,IVA 6% Imobilizado,VAT 6%,IVA 6%,17,6,percent,purchase,tax_group_iva_6,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
iva_pt_purchase_reduzida_fixed_assets_ic,6% Fixed Assets (Intracommunity),6% Imobilizado (Intracomunitário),VAT 6% Fixed Assets (IC),IVA 6% Imobilizado (IC),VAT 6%,IVA 6%,17,6,percent,purchase,tax_group_iva_6,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_reduzida_fixed_assets_ec,6% Fixed Assets (Extracommunity),6% Imobilizado (Extracomunitário),VAT 6% Fixed Assets (EC),IVA 6% Imobilizado (EC),VAT 6%,IVA 6%,17,6,percent,purchase,tax_group_iva_6,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_sale_eu_isenta,0% EU,0% UE,0% EU,IVA 0%,VAT 0%,IVA 0%,18,0,percent,sale,tax_group_iva_0,,,100,base,invoice,+trp_base_7,,IVA,,l10n_pt_apo.M16,
,,,,,,,,,,,,,,100,tax,invoice,,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_7,,,,,
,,,,,,,,,,,,,,100,tax,refund,,chart_24331,,,,
iva_pt_sale_non_eu_isenta,0% EX,0% EX,0% No EU,IVA 0%,VAT 0%,IVA 0%,19,0,percent,sale,tax_group_iva_0,,,100,base,invoice,+trp_base_8,,IVA,,l10n_pt_apo.M05,
,,,,,,,,,,,,,,100,tax,invoice,,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_8,,,,,
,,,,,,,,,,,,,,100,tax,refund,,chart_24331,,,,
iva_pt_purchase_eu_isenta,0% EU,0% UE,0% EU,IVA 0%,VAT 0%,IVA 0%,20,0,percent,purchase,tax_group_iva_0,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,,chart_24321,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,,chart_24321,,,,
iva_pt_purchase_non_eu_isenta,0% EX,0% EX,0% No EU,IVA 0%,VAT 0%,IVA 0%,21,0,percent,purchase,tax_group_iva_0,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,,chart_24321,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,,chart_24321,,,,
iva_pt_purchase_eu_normal_bens,23% EU G,23% UE G,23% EU G,IVA 23%,VAT 23%,IVA 23%,22,23,percent,purchase,tax_group_iva_23,True,consu,100,base,invoice,+trp_base_12,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_13,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_22,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_12,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_state_13,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_22,chart_24331,,,,
iva_pt_purchase_eu_normal_servicos,23% EU S,23% UE S,23% EU S,IVA 23%,VAT 23%,IVA 23%,23,23,percent,purchase,tax_group_iva_23,True,service,100,base,invoice,+trp_base_16,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_17,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_22,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_16,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_state_17,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_22,chart_24331,,,,
iva_pt_purchase_eu_fixed_assets,23% EU FA,23% UE I,23% EU FA,IVA 23%,VAT 23%,IVA 23%,24,23,percent,purchase,tax_group_iva_23,True,,100,base,invoice,+trp_base_16,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_17,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_22,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_16,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_state_17,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_22,chart_24341,,,,
iva_pt_purchase_eu_intermedia_bens,13% EU G,13% UE G,13% EU G,IVA 13%,VAT 13%,IVA 13%,25,13,percent,purchase,tax_group_iva_13,,consu,100,base,invoice,+trp_base_12,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_13,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_23,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_12,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_state_13,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_23,chart_24331,,,,
iva_pt_purchase_eu_intermedia_servicos,13% EU S,13% UE S,13% EU S,IVA 13%,VAT 13%,IVA 13%,26,13,percent,purchase,tax_group_iva_13,,service,100,base,invoice,+trp_base_16,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_17,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_23,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,-trp_base_16,,,,,
,,,,,,,,,,,,,,100,tax,refund,-trp_tax_favor_state_17,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_23,chart_24331,,,,
iva_pt_purchase_eu_intermedia_fixed_assets,13% EU FA,13% UE I,13% EU FA,IVA 13%,VAT 13%,IVA 13%,27,13,percent,purchase,tax_group_iva_13,,,100,base,invoice,+trp_base_16,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_state_17,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,-trp_tax_favor_company_23,chart_24332,,,,
