id,code_prefix_start,name,name@pt
chart_group_62512413,62512413,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_62512414,62512414,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPM
chart_group_6251242,6251242,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62512421,62512421,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62512422,62512422,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62512423,62512423,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_62512424,62512424,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - VLPHP
chart_group_6251243,6251243,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62512431,62512431,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV
chart_group_62512432,62512432,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV,Deslocações e Estadas - Mercado Intracomunitário - Portagens e Estacionamentos - GPL ou GNV
